[Data]
Tagname,TimeStamp,Value,DataQuality
151.20.35.10--1.REG2003,2024-03-25 12:58:00.281,0,Good
151.20.35.10--1.REG2004,2024-03-25 12:58:00.281,18379,Good
151.20.35.10--1.REG2005,2024-03-25 12:58:00.281,323,Good
151.20.35.10--1.REG372,2024-03-25 12:58:00.281,45677,Good
151.20.35.10--1.REG373,2024-03-25 12:58:00.281,95,Good
151.20.35.10--1.AI23,2024-03-25 12:59:00.281,0,Good
151.20.35.10--1.AI24,2024-03-25 12:59:00.281,149,Good
151.20.35.10--1.REG4,2024-03-25 12:59:00.281,45682,Good
151.20.35.10--1.REG5,2024-03-25 12:59:00.281,95,Good
151.20.35.10--1.REG2000,2024-03-25 12:59:00.281,31,Good
151.20.35.10--1.REG2001,2024-03-25 12:59:00.281,45682,Good
151.20.35.10--1.REG2002,2024-03-25 12:59:00.281,0,Good
151.20.35.10--1.REG2003,2024-03-25 12:59:00.281,0,Good
151.20.35.10--1.REG2004,2024-03-25 12:59:00.281,18379,Good
151.20.35.10--1.REG2005,2024-03-25 12:59:00.281,385,Good
151.20.35.10--1.REG372,2024-03-25 12:59:00.281,45682,Good
151.20.35.10--1.REG373,2024-03-25 12:59:00.281,95,Good
151.20.35.10--1.AI23,2024-03-25 13:00:00.281,0,Good
151.20.35.10--1.AI24,2024-03-25 13:00:00.281,150,Good
151.20.35.10--1.REG4,2024-03-25 13:00:00.281,45682,Good
151.20.35.10--1.REG5,2024-03-25 13:00:00.281,95,Good
151.20.35.10--1.REG2000,2024-03-25 13:00:00.281,30,Good
151.20.35.10--1.REG2001,2024-03-25 13:00:00.281,45682,Good
151.20.35.10--1.REG2002,2024-03-25 13:00:00.281,0,Good
151.20.35.10--1.REG2003,2024-03-25 13:00:00.281,0,Good
151.20.35.10--1.REG2004,2024-03-25 13:00:00.281,18379,Good
151.20.35.10--1.REG2005,2024-03-25 13:00:00.281,385,Good
151.20.35.10--1.REG372,2024-03-25 13:00:00.281,45682,Good
151.20.35.10--1.REG373,2024-03-25 13:00:00.281,95,Good
151.20.35.10--1.AI23,2024-03-25 13:01:00.281,0,Good
151.20.35.10--1.AI24,2024-03-25 13:01:00.281,151,Good
151.20.35.10--1.REG4,2024-03-25 13:01:00.281,45682,Good
151.20.35.10--1.REG5,2024-03-25 13:01:00.281,95,Good
151.20.35.10--1.REG2000,2024-03-25 13:01:00.281,29,Good
151.20.35.10--1.REG2001,2024-03-25 13:01:00.281,45682,Good
151.20.35.10--1.REG2002,2024-03-25 13:01:00.281,0,Good
151.20.35.10--1.REG2003,2024-03-25 13:01:00.281,0,Good
151.20.35.10--1.REG2004,2024-03-25 13:01:00.281,18379,Good
151.20.35.10--1.REG2005,2024-03-25 13:01:00.281,385,Good
151.20.35.10--1.REG372,2024-03-25 13:01:00.281,45682,Good
151.20.35.10--1.REG373,2024-03-25 13:01:00.281,95,Good
